timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-08 11:00:00,31.493333816528,13.51,785.92907714844,52.72,244.94250488281
2018-04-08 12:00:00,32.919998168945,12.47,885.32934570312,52.84,291.5334777832
2018-04-08 13:00:00,33.633335113525,11.8,891.55230712891,53.1,323.62045288086
2018-04-08 14:00:00,34.986667633057,11.48,853.93475341797,66.55,393.4319152832
2018-04-08 15:00:00,34.650001525879,11.49,713.43499755859,56.76,475.40655517578
2018-04-08 16:00:00,34.860000610352,11.95,481.20001220703,26.67,478.8212890625
2018-04-09 08:00:00,17.979999542236,23.71,126.34422302246,49.66,167.18508911133
2018-04-09 09:00:00,25.466667175293,14.58,404.94024658203,52.26,373.49111938477
2018-04-09 10:00:00,29.926666259766,11.86,623.69659423828,146.78,300.83740234375
2018-04-09 11:00:00,32.173332214355,10.56,788.4150390625,150.18,282.52770996094
2018-04-09 12:00:00,33.456665039062,9.78,886.21948242188,51.4,277.81344604492
2018-04-09 13:00:00,34.20333480835,9.35,912.74298095703,83.13,324.67810058594
2018-04-09 14:00:00,34.849998474121,9.11,861.42889404297,112.91,407.2721862793
2018-04-09 15:00:00,35.479999542236,9.21,741.1884765625,98.32,519.61187744141
2018-04-09 16:00:00,35.70333480835,9.68,562.50537109375,50.47,548.21057128906
2018-04-10 08:00:00,24.739999771118,31.21,148.48875427246,51.93,162.96258544922
2018-04-10 09:00:00,29.113332748413,23.5,401.1057434082,58.1,416.39471435547
2018-04-10 10:00:00,31.766666412354,19.93,607.98718261719,60.63,412.62420654297
2018-04-10 11:00:00,32.286666870117,17.74,772.31927490234,61.07,346.23590087891
2018-04-10 12:00:00,33.389999389648,16.49,868.60668945312,70.83,391.30154418945
2018-04-10 13:00:00,33.733333587646,15.69,894.04608154297,86.88,439.11688232422
2018-04-10 14:00:00,34.916667938232,15.26,903.68725585938,112.57,445.85427856445
2018-04-10 15:00:00,35.163333892822,15.26,838.45013427734,58.01,486.08807373047
2018-04-10 16:00:00,34.146667480469,15.74,115.08737182617,30.63,123.93618011475
2018-04-11 08:00:00,24.976667404175,43.53,27.846771240234,112.91,27.396165847778
2018-04-11 09:00:00,22.363332748413,41.08,53.608913421631,104.79,53.791416168213
2018-04-11 10:00:00,25.306665420532,37.74,193.77996826172,97.81,180.7746887207
2018-04-11 11:00:00,27.333332061768,33.4,389.02322387695,74.72,317.92156982422
2018-04-11 12:00:00,29.726667404175,29.22,477.2060546875,124.95,317.79528808594
2018-04-11 13:00:00,30.959999084473,26.13,1041.5826416016,97.49,318.28311157227
